sorszam,uid,nev,email,jelszo,role,city,district,irsz
"38","W65hItxj17cIe2rA2fCPcwrn8Pm1","Bodnár Marcell","bodnar.marcell.96@directmail.co","TesztUser2026!","pharmacist","Tapolca","","8300"
"39","BXj0VaDkNxbhxkYQqkcj4S4XBfr2","Cserna Ágnes","agnes.ozd13@northmail.eu","TesztUser2026!","pharmacist","Ozd","","3600"
"40","hoEsLCp7UnQFVR15NUzkt4wb3aG2","Kecskes Patrik","patrik.kecskes20@mailhub.hu","TesztUser2026!","pharmacist","Budaors","","2040"
"41","Bvar3l3Jg2OGDFELHtYUni2RYUz2","Kovács Bence","kovacs1995.bence@postalink.hu","TesztUser2026!","pharmacist","Makó","","6900"
"42","liPjHhh7bmOW99e3YPePwfncYR22","Nagy Anna","anna646.nagy@inkmail.net","TesztUser2026!","pharmacist","Gyongyos","","3200"
"43","OtYDHPJaaVhW1Hlvytqf3Qkv2Wz1","Molnar Dóra","molnar.dora.41@citymail.hu","TesztUser2026!","pharmacist","Pecs","","7621"
"44","zCIbjFAbWsYYzWvlHXceYrdu58y1","Papp Levente","levente.kiskunhalas48@levbox.org","TesztUser2026!","pharmacist","Kiskunhalas","","6400"
"45","OwTFWn7NaxO3ZcrfpnKsRZcqCSw1","Juhász Nora","nora.juhasz55@horizontmail.hu","TesztUser2026!","pharmacist","Dunakeszi","","2120"
"46","TCPKS85C6kgmGDu01ohMEgJCx2z1","Biro Máté","biro2000.mate@rapidmail.net","TesztUser2026!","pharmacist","Komarom","","2900"
"47","JU7wS8RSWQPRBY5BQvaY7tPRrVU2","Kádár Petra","petra711.kadar@urbanposta.hu","TesztUser2026!","pharmacist","Heviz","","8380"
"48","e1DteNGUOBeLN53wezekS1nQ3432","Bodnár Dávid","bodnar.david.76@directmail.co","TesztUser2026!","pharmacist","Balatonfured","","8230"
"49","a8ZE04K3MHRHKwjdqSCFS055Wbn1","Cserna Eszter","eszter.eger83@northmail.eu","TesztUser2026!","pharmacist","Eger","","3300"
"50","5dpdTL8wcYTe7BkPhZFdoANddqu1","Kecskés Balázs","balazs.kecskes90@mailhub.hu","TesztUser2026!","pharmacist","Vac","","2600"
"51","zo7qaMFab3RNJazWtW0yvTogtcW2","Kovács Réka","kovacs1981.reka@postalink.hu","TesztUser2026!","assistant","Budapest","I. kerulet","1011"
"52","MVEGMAW4k8PBKjNAtNHLSJGzNP62","Nagy Gábor","gabor776.nagy@inkmail.net","TesztUser2026!","assistant","Budapest","II. kerulet","1024"
"53","DOvXHz6nath3xydlhZ67EiIgQGR2","Molnár Zsofia","molnar.zsofia.21@citymail.hu","TesztUser2026!","assistant","Budapest","III. kerulet","1033"
"54","2uldH2Au0NRvn9J33nvsPVeTykh1","Papp Ádám","adam.budapest28@levbox.org","TesztUser2026!","assistant","Budapest","IV. kerulet","1042"
"55","7nkdZr10Y4SocTLiI4cNI1MPhTM2","Juhasz Kata","kata.juhasz35@horizontmail.hu","TesztUser2026!","assistant","Budapest","V. kerulet","1052"
"56","FtIPXStCJGY4rbBaNqC6svkiHa22","Biró Gergely","biro1986.gergely@rapidmail.net","TesztUser2026!","assistant","Budapest","VI. kerulet","1062"
"57","vSkejoyrjJML5DZ4SH7VgOeGeG02","Kádár Judit","judit841.kadar@urbanposta.hu","TesztUser2026!","assistant","Budapest","VII. kerulet","1073"
"58","fKijzfWrUvbndF6EgJKuTxcaj6d2","Bodnar András","bodnar.andras.56@directmail.co","TesztUser2026!","assistant","Budapest","VIII. kerulet","1085"
"59","rR0bbDtH0DW0UhjXd9wNa94OmkK2","Cserna Viktória","viktoria.budapest63@northmail.eu","TesztUser2026!","assistant","Budapest","IX. kerulet","1094"
"60","yefYDpZkGiRPuGFv9K4xFGlfJ1q2","Kecskés Tamás","tamas.kecskes70@mailhub.hu","TesztUser2026!","assistant","Budapest","X. kerulet","1102"
"61","AThzmjBF8cT1Bh9ss92qDbfTh6G3","Kovacs Szilvia","kovacs1991.szilvia@postalink.hu","TesztUser2026!","assistant","Budapest","XI. kerulet","1117"
"62","X46wfisXSYOc17kk1hyf10UVEzw1","Nagy Miklós","miklos906.nagy@inkmail.net","TesztUser2026!","assistant","Budapest","XII. kerulet","1123"
"63","UfmWo4U0CcUazbEgnnGoNRWUa1W2","Molnár Noémi","molnar.noemi.91@citymail.hu","TesztUser2026!","assistant","Budapest","XIII. kerulet","1138"
"64","AbKvusNXF9ZMkI1i5Bnts9qcbSk1","Papp István","istvan.budapest98@levbox.org","TesztUser2026!","assistant","Budapest","XIV. kerulet","1146"
"65","wgw31m4HDvUyxS39VojTcS1Gh822","Juhász Renata","renata.juhasz15@horizontmail.hu","TesztUser2026!","assistant","Budapest","XV. kerulet","1153"
"66","DbjkmWKUtNZCWGtIDBRe7GFKn0r2","Biró Kristóf","biro1996.kristof@rapidmail.net","TesztUser2026!","assistant","Budapest","XVI. kerulet","1163"
"67","ScohiyQiYLd0C8Y7mhXqQomDI4k1","Kadar Márta","marta971.kadar@urbanposta.hu","TesztUser2026!","assistant","Budapest","XVII. kerulet","1173"
"68","2yNxtuxGb0ZmXcdGLufJva56ciH3","Bodnár Áron","bodnar.aron.36@directmail.co","TesztUser2026!","assistant","Budapest","XVIII. kerulet","1184"
"69","Q2UN4kouDhPhM4oWeateIwkEfeD3","Cserna Melinda","melinda.budapest43@northmail.eu","TesztUser2026!","assistant","Budapest","XIX. kerulet","1191"
"70","1kGE7r8cmAcVQMIdeHBhS84GqGD2","Kecskes Dániel","daniel.kecskes50@mailhub.hu","TesztUser2026!","assistant","Budapest","XX. kerulet","1203"
"71","qhielN7A7zPxIdDoOjyq5MwRx0t1","Kovács Ildikó","kovacs2001.ildiko@postalink.hu","TesztUser2026!","assistant","Budapest","XXI. kerulet","1211"
"72","E5nKYM6sq8NA41YKZLu62YzB0dS2","Nagy Csaba","csaba136.nagy@inkmail.net","TesztUser2026!","assistant","Budapest","XXII. kerulet","1222"
"73","k3fYrBOVfVgAlJJrxopq4Fp2ZAH3","Molnar Kinga","molnar.kinga.71@citymail.hu","TesztUser2026!","assistant","Budapest","XXIII. kerulet","1238"
"74","0petaQ3ig4bJUjFm7ZeJxb9UIXl2","Papp Roland","roland.budapest78@levbox.org","TesztUser2026!","assistant","Budapest","I. kerulet","1011"
"75","BAgNnseIqoW3N1C6pk6WQ5fZNty2","Juhász Adrienn","adrienn.juhasz85@horizontmail.hu","TesztUser2026!","assistant","Budapest","II. kerulet","1024"
"76","mWytRybVgAT1sZDag8IMyqKp9Ur1","Biro Ákos","biro1982.akos@rapidmail.net","TesztUser2026!","assistant","Budapest","III. kerulet","1033"
"77","dt8hrut6N8TBOEqxN4X9wd4ZqGu1","Kádár Orsolya","orsolya201.kadar@urbanposta.hu","TesztUser2026!","assistant","Budapest","IV. kerulet","1042"
"78","cpVwMWOk8KgvwkGFbwINUKViuLe2","Bodnár Marcell","bodnar.marcell.16@directmail.co","TesztUser2026!","assistant","Budapest","V. kerulet","1052"
"79","igVMguIx0kOOEzi75hihM3DirjR2","Cserna Ágnes","agnes.budapest23@northmail.eu","TesztUser2026!","assistant","Budapest","VI. kerulet","1062"
"80","ZAqCG7YUEpRnmiMWaIXBXcNdwBN2","Kecskés Patrik","patrik.kecskes30@mailhub.hu","TesztUser2026!","assistant","Budapest","VII. kerulet","1073"
"81","v1gkxTSdsMXXgyGQ2VP16W6R8Uh1","Kovács Bence","kovacs1987.bence@postalink.hu","TesztUser2026!","assistant","Budapest","VIII. kerulet","1085"
"82","UVxefoQqt7he5bGpchWbrskqhRs2","Nagy Anna","anna266.nagy@inkmail.net","TesztUser2026!","assistant","Budapest","IX. kerulet","1094"
"83","VVtJTooO49d4ji5K1tWCmryVWxx2","Molnár Dóra","molnar.dora.51@citymail.hu","TesztUser2026!","assistant","Budapest","X. kerulet","1102"
"84","1O7ffux9cKTKLSDMoOwT1QqaF4D2","Papp Levente","levente.budapest58@levbox.org","TesztUser2026!","assistant","Budapest","XI. kerulet","1117"
"85","R2WlyGY7XddAYJsirNrAOh8Ma3P2","Juhasz Nora","nora.juhasz65@horizontmail.hu","TesztUser2026!","assistant","Budapest","XII. kerulet","1123"
"86","VV0p7XRXjPNnjSRzLhO9ZRFDf6p1","Biró Máté","biro1992.mate@rapidmail.net","TesztUser2026!","assistant","Budapest","XIII. kerulet","1138"
"87","gmQM6V7luAawcwrQIpArDhPRrXF3","Kádár Petra","petra331.kadar@urbanposta.hu","TesztUser2026!","assistant","Budapest","XIV. kerulet","1146"
"88","EHT1n5IBLCUgxrbrosxLrkOKdhB3","Bodnar Dávid","bodnar.david.86@directmail.co","TesztUser2026!","assistant","Budapest","XV. kerulet","1153"
"89","X50BdYaTPab91T4x7EwdWZB9mo52","Cserna Eszter","eszter.budapest93@northmail.eu","TesztUser2026!","assistant","Budapest","XVI. kerulet","1163"
"90","wFNov9tbvyX7Fk3EYIEf0VqOJtW2","Kecskés Balázs","balazs.kecskes10@mailhub.hu","TesztUser2026!","assistant","Budapest","XVII. kerulet","1173"
"91","cP2wypVu18PWDqTDZxhIJO5aac83","Kovacs Réka","kovacs1997.reka@postalink.hu","TesztUser2026!","assistant","Budapest","XVIII. kerulet","1184"
"92","HaH23XesQFhGumNqG8JF05wYjaV2","Nagy Gábor","gabor396.nagy@inkmail.net","TesztUser2026!","assistant","Budapest","XIX. kerulet","1191"
"93","ZUh44DfDCaXlpQwhAMPNNhwBQuu2","Molnár Zsofia","molnar.zsofia.31@citymail.hu","TesztUser2026!","assistant","Budapest","XX. kerulet","1203"
"94","qJIu71T2X2QXjfz3fyLbFzPWNtp1","Papp Ádám","adam.budapest38@levbox.org","TesztUser2026!","assistant","Budapest","XXI. kerulet","1211"
"95","al3yECkq5pWDapZ8PIduKNr5KZA2","Juhász Kata","kata.juhasz45@horizontmail.hu","TesztUser2026!","assistant","Budapest","XXII. kerulet","1222"
"96","ntLjulTmexMEqYO3XWZAZue0xng1","Biró Gergely","biro1978.gergely@rapidmail.net","TesztUser2026!","assistant","Budapest","XXIII. kerulet","1238"
"97","H2cWf9OpX5W5gLOJmb6Q1SmVCrW2","Kadar Judit","judit461.kadar@urbanposta.hu","TesztUser2026!","assistant","Budapest","I. kerulet","1011"
"98","9Ows5enyzxP3sBcAPf9SBwZ6XwQ2","Bodnár András","bodnar.andras.66@directmail.co","TesztUser2026!","assistant","Budapest","II. kerulet","1024"
"99","pQgDW7fkP4MdhlvyLqWSQIQGnch1","Cserna Viktória","viktoria.budapest73@northmail.eu","TesztUser2026!","assistant","Budapest","III. kerulet","1033"
"100","suFQNiiOT1ScdYE8Jf3ileKN8sL2","Kecskes Tamás","tamas.kecskes80@mailhub.hu","TesztUser2026!","assistant","Budapest","IV. kerulet","1042"
