sorszam,vezeteknev,utonev,teljesNev,role,city,district,postalCode,country,email,phone
"54","Nagy","Miklós","Nagy Miklós","assistant","Budapest","IV. kerulet","1042","HU","",""
"55","Varga","Melinda","Varga Melinda","assistant","Budapest","V. kerulet","1052","HU","",""
"56","Kiss","Ákos","Kiss Ákos","assistant","Budapest","VI. kerulet","1062","HU","",""
"57","Molnár","Gergo","Molnár Gergo","assistant","Budapest","VII. kerulet","1073","HU","",""
"58","Farkas","Milán","Farkas Milán","assistant","Budapest","VIII. kerulet","1085","HU","",""
"59","Balogh","Eszter","Balogh Eszter","assistant","Budapest","IX. kerulet","1094","HU","",""
"60","Papp","Ádám","Papp Ádám","assistant","Budapest","X. kerulet","1102","HU","",""
"61","Lakatos","Szilvia","Lakatos Szilvia","assistant","Budapest","XI. kerulet","1117","HU","",""
"62","Takács","Áron","Takács Áron","assistant","Budapest","XII. kerulet","1123","HU","",""
"63","Juhász","Adrienn","Juhász Adrienn","assistant","Budapest","XIII. kerulet","1138","HU","",""
"64","Meszaros","Boglárka","Meszaros Boglárka","assistant","Budapest","XIV. kerulet","1146","HU","",""
"65","Horváth","Hanna","Horváth Hanna","assistant","Budapest","XV. kerulet","1153","HU","",""
"66","Biró","Máté","Biró Máté","assistant","Budapest","XVI. kerulet","1163","HU","",""
"67","Sipos","Zsófia","Sipos Zsófia","assistant","Budapest","XVII. kerulet","1173","HU","",""
"68","Nemes","Tamás","Nemes Tamás","assistant","Budapest","XVIII. kerulet","1184","HU","",""
"69","Kádár","Marta","Kádár Marta","assistant","Budapest","XIX. kerulet","1191","HU","",""
"70","Simon","Roland","Simon Roland","assistant","Budapest","XX. kerulet","1203","HU","",""
"71","Vincze","Vivien","Vincze Vivien","assistant","Budapest","XXI. kerulet","1211","HU","",""
"72","Bodnár","Zalán","Bodnár Zalán","assistant","Budapest","XXII. kerulet","1222","HU","",""
"73","Kelemen","Noemi","Kelemen Noemi","assistant","Budapest","XXIII. kerulet","1238","HU","",""
"74","Hegedűs","Gábor","Hegedűs Gábor","assistant","Budapest","I. kerulet","1011","HU","",""
"75","Cserna","Viktória","Cserna Viktória","assistant","Budapest","II. kerulet","1024","HU","",""
"76","Barta","Kristóf","Barta Kristóf","assistant","Budapest","III. kerulet","1033","HU","",""
"77","Szalai","Kinga","Szalai Kinga","assistant","Budapest","IV. kerulet","1042","HU","",""
"78","Kecskés","Patrik","Kecskés Patrik","assistant","Budapest","V. kerulet","1052","HU","",""
"79","Gulyas","László","Gulyas László","assistant","Budapest","VI. kerulet","1062","HU","",""
"80","Antal","Levente","Antal Levente","assistant","Budapest","VII. kerulet","1073","HU","",""
"81","Orbán","Reka","Orbán Reka","assistant","Budapest","VIII. kerulet","1085","HU","",""
"82","Illes","András","Illes András","assistant","Budapest","IX. kerulet","1094","HU","",""
"83","Bencze","Renáta","Bencze Renáta","assistant","Budapest","X. kerulet","1102","HU","",""
"84","Fehér","Csaba","Fehér Csaba","assistant","Budapest","XI. kerulet","1117","HU","",""
"85","Boros","Agnes","Boros Agnes","assistant","Budapest","XII. kerulet","1123","HU","",""
"86","Kis","Bianka","Kis Bianka","assistant","Budapest","XIII. kerulet","1138","HU","",""
"87","Kocsis","Dóra","Kocsis Dóra","assistant","Budapest","XIV. kerulet","1146","HU","",""
"88","Fodor","Balázs","Fodor Balázs","assistant","Budapest","XV. kerulet","1153","HU","",""
"89","Hajdú","Judit","Hajdú Judit","assistant","Budapest","XVI. kerulet","1163","HU","",""
"90","Barna","István","Barna István","assistant","Budapest","XVII. kerulet","1173","HU","",""
"91","Fazekas","Ildikó","Fazekas Ildikó","assistant","Budapest","XVIII. kerulet","1184","HU","",""
"92","Madarász","Marcell","Madarász Marcell","assistant","Budapest","XIX. kerulet","1191","HU","",""
"93","Rácz","Attila","Rácz Attila","assistant","Budapest","XX. kerulet","1203","HU","",""
"94","Dobi","Bence","Dobi Bence","assistant","Budapest","XXI. kerulet","1211","HU","",""
"95","Tamási","Petra","Tamási Petra","assistant","Budapest","XXII. kerulet","1222","HU","",""
"96","Veres","Gergely","Veres Gergely","assistant","Budapest","XXIII. kerulet","1238","HU","",""
"97","Kolozsi","Nora","Kolozsi Nora","assistant","Budapest","I. kerulet","1011","HU","",""
"98","Páll","Dániel","Páll Dániel","assistant","Budapest","II. kerulet","1024","HU","",""
"99","Sárközi","Orsolya","Sárközi Orsolya","assistant","Budapest","III. kerulet","1033","HU","",""
"100","Dudas","Emese","Dudas Emese","assistant","Budapest","IV. kerulet","1042","HU","",""
