sorszam,vezeteknev,utonev,teljesNev,role,city,district,postalCode,country,email,phone
"49","Sarkozi","Orsolya","Sarkozi Orsolya","pharmacist","Keszthely","","8360","HU","",""
"50","Dudás","Emese","Dudás Emese","pharmacist","Dunaujvaros","","2400","HU","",""
"51","Kovacs","Anna","Kovacs Anna","assistant","Budapest","I. kerulet","1011","HU","",""
"52","Szabo","David","Szabo David","assistant","Budapest","II. kerulet","1024","HU","",""
"53","Toth","Kata","Toth Kata","assistant","Budapest","III. kerulet","1033","HU","",""
"54","Nagy","Miklos","Nagy Miklos","assistant","Budapest","IV. kerulet","1042","HU","",""
"55","Varga","Melinda","Varga Melinda","assistant","Budapest","V. kerulet","1052","HU","",""
"56","Kiss","Akos","Kiss Akos","assistant","Budapest","VI. kerulet","1062","HU","",""
"57","Molnar","Gergo","Molnar Gergo","assistant","Budapest","VII. kerulet","1073","HU","",""
"58","Farkas","Milan","Farkas Milan","assistant","Budapest","VIII. kerulet","1085","HU","",""
"59","Balogh","Eszter","Balogh Eszter","assistant","Budapest","IX. kerulet","1094","HU","",""
"60","Papp","Adam","Papp Adam","assistant","Budapest","X. kerulet","1102","HU","",""
"61","Lakatos","Szilvia","Lakatos Szilvia","assistant","Budapest","XI. kerulet","1117","HU","",""
"62","Takacs","Aron","Takacs Aron","assistant","Budapest","XII. kerulet","1123","HU","",""
"63","Juhasz","Adrienn","Juhasz Adrienn","assistant","Budapest","XIII. kerulet","1138","HU","",""
"64","Meszaros","Boglarka","Meszaros Boglarka","assistant","Budapest","XIV. kerulet","1146","HU","",""
"65","Horvath","Hanna","Horvath Hanna","assistant","Budapest","XV. kerulet","1153","HU","",""
"66","Biro","Mate","Biro Mate","assistant","Budapest","XVI. kerulet","1163","HU","",""
"67","Sipos","Zsofia","Sipos Zsofia","assistant","Budapest","XVII. kerulet","1173","HU","",""
"68","Nemes","Tamas","Nemes Tamas","assistant","Budapest","XVIII. kerulet","1184","HU","",""
"69","Kadar","Marta","Kadar Marta","assistant","Budapest","XIX. kerulet","1191","HU","",""
"70","Simon","Roland","Simon Roland","assistant","Budapest","XX. kerulet","1203","HU","",""
"71","Vincze","Vivien","Vincze Vivien","assistant","Budapest","XXI. kerulet","1211","HU","",""
"72","Bodnar","Zalan","Bodnar Zalan","assistant","Budapest","XXII. kerulet","1222","HU","",""
"73","Kelemen","Noemi","Kelemen Noemi","assistant","Budapest","XXIII. kerulet","1238","HU","",""
"74","Hegedus","Gabor","Hegedus Gabor","assistant","Budapest","I. kerulet","1011","HU","",""
"75","Cserna","Viktoria","Cserna Viktoria","assistant","Budapest","II. kerulet","1024","HU","",""
"76","Barta","Kristof","Barta Kristof","assistant","Budapest","III. kerulet","1033","HU","",""
"77","Szalai","Kinga","Szalai Kinga","assistant","Budapest","IV. kerulet","1042","HU","",""
"78","Kecskes","Patrik","Kecskes Patrik","assistant","Budapest","V. kerulet","1052","HU","",""
"79","Gulyas","Laszlo","Gulyas Laszlo","assistant","Budapest","VI. kerulet","1062","HU","",""
"80","Antal","Levente","Antal Levente","assistant","Budapest","VII. kerulet","1073","HU","",""
"81","Orban","Reka","Orban Reka","assistant","Budapest","VIII. kerulet","1085","HU","",""
"82","Illes","Andras","Illes Andras","assistant","Budapest","IX. kerulet","1094","HU","",""
"83","Bencze","Renata","Bencze Renata","assistant","Budapest","X. kerulet","1102","HU","",""
"84","Feher","Csaba","Feher Csaba","assistant","Budapest","XI. kerulet","1117","HU","",""
"85","Boros","Agnes","Boros Agnes","assistant","Budapest","XII. kerulet","1123","HU","",""
"86","Kis","Bianka","Kis Bianka","assistant","Budapest","XIII. kerulet","1138","HU","",""
"87","Kocsis","Dora","Kocsis Dora","assistant","Budapest","XIV. kerulet","1146","HU","",""
"88","Fodor","Balazs","Fodor Balazs","assistant","Budapest","XV. kerulet","1153","HU","",""
"89","Hajdu","Judit","Hajdu Judit","assistant","Budapest","XVI. kerulet","1163","HU","",""
"90","Barna","Istvan","Barna Istvan","assistant","Budapest","XVII. kerulet","1173","HU","",""
"91","Fazekas","Ildiko","Fazekas Ildiko","assistant","Budapest","XVIII. kerulet","1184","HU","",""
"92","Madarasz","Marcell","Madarasz Marcell","assistant","Budapest","XIX. kerulet","1191","HU","",""
"93","Racz","Attila","Racz Attila","assistant","Budapest","XX. kerulet","1203","HU","",""
"94","Dobi","Bence","Dobi Bence","assistant","Budapest","XXI. kerulet","1211","HU","",""
"95","Tamasi","Petra","Tamasi Petra","assistant","Budapest","XXII. kerulet","1222","HU","",""
"96","Veres","Gergely","Veres Gergely","assistant","Budapest","XXIII. kerulet","1238","HU","",""
"97","Kolozsi","Nora","Kolozsi Nora","assistant","Budapest","I. kerulet","1011","HU","",""
"98","Pall","Daniel","Pall Daniel","assistant","Budapest","II. kerulet","1024","HU","",""
"99","Sarkozi","Orsolya","Sarkozi Orsolya","assistant","Budapest","III. kerulet","1033","HU","",""
"100","Dudás","Emese","Dudás Emese","assistant","Budapest","IV. kerulet","1042","HU","",""
